Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
Social Changes,28.12.2020,1040.0,,10.0,10.0,35.0,25.0,,3.0,,13.0,9.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.12.2020,1040.0,,2.0,13.0,33.0,19.0,,3.0,20.0,11.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,22.12.2020,1100.0,,14.7,9.7,33.2,23.6,,6.0,9.1,8.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.12.2020,1096.0,,11.0,7.0,33.0,26.0,,2.0,,14.0,9.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.12.2020,1096.0,,2.0,11.0,31.0,20.0,,4.0,20.0,11.0,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,16.12.2020,1100.0,,15.5,10.7,33.0,22.3,,6.1,11.0,7.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.12.2020,1092.0,,9.0,10.0,36.0,26.0,,4.0,,12.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.12.2020,1092.0,,2.0,14.0,34.0,20.0,,4.0,19.0,10.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,12.12.2020,1067.0,,1.4,13.76,40.05,26.29,,5.27,12.44,8.52,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,12.12.2020,1100.0,,8.3,10.6,34.0,23.4,,6.2,14.4,9.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,11.12.2020,1023.0,,0.2,13.4,38.3,24.9,,5.7,13.2,10.9,4.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,10.12.2020,1100.0,,8.6,9.9,33.7,23.8,,4.8,13.6,9.0,5.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,
CBOS,10.12.2020,1010.0,,22.2,13.0,31.1,18.1,,2.0,15.6,3.9,5.1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,09.12.2020,987.0,,16.0,,25.0,25.0,,5.0,13.0,8.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.12.2020,1079.0,,13.0,4.0,31.0,27.0,,3.0,,13.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.12.2020,1079.0,,1.0,6.0,28.0,22.0,,3.0,22.0,11.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,30.11.2020,1079.0,,12.0,4.0,32.0,28.0,,,,14.0,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Social Changes,30.11.2020,1079.0,,2.0,6.0,29.0,21.0,,,23.0,12.0,10.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
United Surveys,28.11.2020,1000.0,,11.0,10.6,33.6,23.0,,,11.8,9.8,4.7,,,,,,,,,6.1,,,,,,,,,,,,,,,,,
IBRiS,27.11.2020,1100.0,,11.0,10.3,32.7,22.4,,,12.6,10.1,5.4,,,,,,,,,5.8,,,,,,,,,,,,,,,,,
Estymator,27.11.2020,1019.0,,0.3,9.5,36.9,27.4,,,15.8,9.6,5.2,,,,,,,,,4.8,,,,,,,,,,,,,,,,,
IPSOS,25.11.2020,1000.0,,5.0,6.0,29.0,23.0,,,20.0,10.0,9.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Kantar Public,23.11.2020,1003.0,,15.0,2.0,27.0,25.0,,,14.0,8.0,7.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,23.11.2020,1058.0,,13.0,7.0,33.0,26.0,,,,13.0,10.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Social Changes,23.11.2020,1058.0,,3.0,11.0,32.0,21.0,,,21.0,10.0,9.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,16.11.2020,1049.0,,11.0,1.0,32.0,31.0,,,,12.0,8.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,16.11.2020,1049.0,,3.0,4.0,28.0,24.0,,,22.0,10.0,7.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
CBOS,15.11.2020,1052.0,,22.3,13.5,29.8,16.3,,,16.3,6.0,6.8,,,,,,,,,2.5,,,,,,,,,,,,,,,,,
IBRiS,14.11.2020,1100.0,,14.0,8.9,33.0,24.1,,,13.1,8.4,2.3,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Estymator,13.11.2020,1025.0,,0.6,7.5,36.8,29.3,,,12.7,9.4,6.6,,,,,,,,,4.6,,,,,,,,,,,,,,,,,
Kantar Public,12.11.2020,981.0,,15.0,6.0,30.0,24.0,,,13.0,6.0,6.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,09.11.2020,1088.0,,8.0,3.0,32.0,29.0,,,,15.0,9.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,09.11.2020,1088.0,,1.0,9.0,31.0,21.0,,,22.0,12.0,8.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
IBRiS,03.11.2020,1100.0,,18.0,4.0,28.7,24.7,,,11.3,7.0,5.1,,,,,,,,,5.1,,,,,,,,,,,,,,,,,
Social Changes,02.11.2020,1080.0,,13.0,3.0,30.0,27.0,,,,14.0,10.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
United Surveys,31.10.2020,1000.0,,15.4,5.6,30.9,25.3,,,14.7,6.0,4.9,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
IBRiS,31.10.2020,1100.0,,20.6,4.9,28.0,23.1,,,14.9,6.2,4.4,,,,,,,,,2.8,,,,,,,,,,,,,,,,,
IBRiS,30.10.2020,1100.0,,16.6,5.0,29.0,24.0,,,14.9,6.9,5.3,,,,,,,,,3.3,,,,,,,,,,,,,,,,,
Estymator,30.10.2020,1017.0,,3.6,6.6,33.4,26.8,,,13.0,10.4,8.7,,,,,,,,,4.1,,,,,,,,,,,,,,,,,
CBOS,29.10.2020,1040.0,,22.2,13.2,31.3,18.1,,,9.7,6.9,8.1,,,,,,,,,3.7,,,,,,,,,,,,,,,,,
Pollster,28.10.2020,1022.0,,1.39,6.26,37.83,31.57,,,8.35,9.76,5.98,,,,,,,,,5.12,,,,,,,,,,,,,,,,,
PGB Opinium,28.10.2020,1100.0,,7.5,7.1,32.6,25.5,,,12.8,8.2,9.3,,,,,,,,,4.1,,,,,,,,,,,,,,,,,
Kantar Public,27.10.2020,1000.0,,13.0,2.0,26.0,24.0,,,18.0,8.0,8.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Social Changes,26.10.2020,1069.0,,7.0,11.0,37.0,26.0,,,,13.0,11.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Estymator,23.10.2020,1021.0,,0.5,12.8,39.8,27.0,,,12.2,7.0,9.2,,,,,,,,,4.3,,,,,,,,,,,,,,,,,
IBRiS,20.10.2020,1100.0,,9.0,10.2,37.0,26.8,,,8.7,7.5,7.2,,,,,,,,,3.8,,,,,,,,,,,,,,,,,
Social Changes,19.10.2020,1069.0,,5.0,13.0,39.0,26.0,,,,11.0,12.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
IBRiS,16.10.2020,1100.0,,9.6,7.9,36.1,28.2,,,9.4,6.4,7.8,,,,,,,,,2.5,,,,,,,,,,,,,,,,,
Social Changes,12.10.2020,1083.0,,6.0,9.0,36.0,27.0,,,,14.0,12.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
CBOS,08.10.2020,1133.0,,19.7,24.7,40.4,15.7,,,7.7,5.3,8.1,,,,,,,,,3.1,,,,,,,,,,,,,,,,,
Kantar Public,07.10.2020,977.0,,9.0,8.0,36.0,28.0,,,9.0,7.0,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,05.10.2020,1076.0,,2.0,16.0,36.0,20.0,,,15.0,13.0,10.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,05.10.2020,1076.0,,7.0,14.0,38.0,24.0,,,,14.0,11.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
IBRiS,02.10.2020,1100.0,,8.5,19.5,41.6,22.1,,,9.0,7.2,7.5,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,28.09.2020,1067.0,,6.0,17.0,42.0,25.0,,,,11.0,9.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Estymator,26.09.2020,1014.0,,0.3,17.3,42.9,25.6,,,11.4,6.4,8.2,,,,,,,,,5.2,,,,,,,,,,,,,,,,,
Estymator,26.09.2020,1014.0,,1.7,14.4,43.6,29.2,,,,8.9,9.8,,,,,,,,,6.8,,,,,,,,,,,,,,,,,
Social Changes,21.09.2020,1058.0,,4.0,13.0,40.0,27.0,,,,15.0,9.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Social Changes,21.09.2020,1058.0,,1.0,17.0,37.0,20.0,,,15.0,12.0,10.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
United Surveys,19.09.2020,1000.0,,9.4,17.2,40.5,23.3,,,9.1,6.0,6.7,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
IBRiS,18.09.2020,1100.0,,8.8,18.5,40.9,22.4,,,11.2,5.4,8.1,,,,,,,,,3.2,,,,,,,,,,,,,,,,,
CBOS,17.09.2020,1149.0,,21.9,18.7,40.7,22.0,,,,5.1,7.6,,,,,,,,,2.7,,,,,,,,,,,,,,,,,
Social Changes,14.09.2020,1055.0,,7.0,16.0,42.0,26.0,,,,10.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Kantar Public,09.09.2020,977.0,,10.0,13.0,39.0,26.0,,,11.0,4.0,6.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Social Changes,07.09.2020,1095.0,,6.0,17.0,42.0,25.0,,,,12.0,9.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,07.09.2020,1095.0,,0.0,15.0,37.0,7.0,,,22.0,4.0,7.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
IBRiS,05.09.2020,1100.0,,9.1,12.7,41.3,28.6,,,,6.7,8.4,,,,,,,,,5.9,,,,,,,,,,,,,,,,,
Social Changes,31.08.2020,1078.0,,6.0,16.0,42.0,26.0,,,,11.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,31.08.2020,1078.0,,1.0,13.0,36.0,6.0,,,23.0,4.0,7.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
CBOS,27.08.2020,,,19.5,25.0,44.0,19.0,,,2.3,4.0,8.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Social Changes,24.08.2020,1062.0,,6.0,16.0,41.0,25.0,,,9.0,13.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,24.08.2020,1062.0,,1.0,11.0,36.0,5.0,,,23.0,5.0,9.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
IBRiS,22.08.2020,1100.0,,11.4,14.8,38.6,23.8,,,8.4,5.1,7.3,,,,,,,,,5.4,,,,,,,,,,,,,,,,,
United Surveys,21.08.2020,1100.0,,10.1,12.0,41.3,22.5,,,7.1,3.2,6.7,,,,,,,,,2.4,,,,,,,,,,,,,,,,,
Social Changes,17.08.2020,1078.0,,5.0,17.0,43.0,26.0,,,,11.0,9.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Estymator,14.08.2020,1022.0,,1.2,14.2,44.0,29.8,,,,9.6,8.5,,,,,,,,,6.9,,,,,,,,,,,,,,,,,
Estymator,14.08.2020,1022.0,,0.3,16.2,42.1,25.9,,,12.4,7.3,6.8,,,,,,,,,5.2,,,,,,,,,,,,,,,,,
Kantar Public,12.08.2020,971.0,,16.0,15.0,38.0,23.0,,,5.0,6.0,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Social Changes,10.08.2020,1078.0,,5.0,14.0,43.0,29.0,,,,11.0,8.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
IBRiS,07.08.2020,1100.0,,12.2,5.0,36.0,31.0,,,,9.1,6.7,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
IBRiS,07.08.2020,1100.0,,12.3,7.2,34.3,27.1,,,11.7,5.6,6.1,,,,,,,,,2.8,,,,,,,,,,,,,,,,,
Social Changes,03.08.2020,1081.0,,4.0,11.0,41.0,30.0,,,,11.0,8.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,03.08.2020,1081.0,,1.0,18.0,39.0,21.0,,,20.0,9.0,7.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
IBRiS,29.07.2020,1100.0,,14.0,3.0,36.0,33.0,,,,6.0,6.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Social Changes,27.07.2020,1062.0,,4.0,14.0,43.0,29.0,,,,8.0,9.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
IBRiS,25.07.2020,1100.0,,10.1,12.7,39.2,26.5,,,,9.8,9.3,,,,,,,,,5.1,,,,,,,,,,,,,,,,,
IBRiS,25.07.2020,1100.0,,10.4,13.2,38.8,25.6,,,11.8,4.8,6.6,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
Estymator,24.07.2020,1034.0,,0.6,13.1,43.9,30.8,,,,9.4,8.8,,,,,,,,,6.5,,,,,,,,,,,,,,,,,
Estymator,24.07.2020,1034.0,,0.4,16.8,41.5,24.7,,,11.4,8.7,7.9,,,,,,,,,5.4,,,,,,,,,,,,,,,,,
Social Changes,20.07.2020,1076.0,,4.0,14.0,42.0,28.0,,,,10.0,11.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Social Changes,20.07.2020,1076.0,,1.0,16.0,39.0,19.0,,,23.0,6.0,9.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
United Surveys,18.07.2020,1100.0,,11.3,8.4,37.5,29.1,,,,8.0,8.7,,,,,,,,,5.4,,,,,,,,,,,,,,,,,
IBRiS,18.07.2020,1100.0,,8.6,11.6,39.7,28.1,,,,9.9,8.0,,,,,,,,,5.8,,,,,,,,,,,,,,,,,
"Presidential election, 2nd round",12.07.2020,20458911.0,,0.0,2.06,51.03,48.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,09.07.2020,1058.0,,0.7,18.38,41.4,23.02,,,12.12,9.98,8.54,,,,,,,,,4.24,,,,,,,,,,,,,,,,,
CBOS,09.07.2020,1339.0,,17.7,28.4,42.3,23.9,,,,5.7,7.2,,,,,,,,,3.2,,,,,,,,,,,,,,,,,
IBRiS,04.07.2020,1100.0,,6.8,14.4,38.0,23.6,,,11.9,7.3,7.3,,,,,,,,,5.2,,,,,,,,,,,,,,,,,
"Presidential election, 1st round",28.06.2020,19425459.0,,0.79,13.04,43.5,30.46,,,13.87,2.22,6.78,,,,,,,,,2.46,,,,,,,,,,,,,,,,,
Social Changes,27.06.2020,1045.0,,2.0,17.0,42.0,25.0,,,,14.0,9.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Social Changes,27.06.2020,1045.0,,1.0,21.0,41.0,20.0,,,18.0,9.0,6.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
IBSP,26.06.2020,1092.0,,0.43,12.91,43.85,30.94,,,,8.88,9.75,,,,,,,,,6.15,,,,,,,,,,,,,,,,,
CBOS,25.06.2020,1378.0,,15.6,20.3,44.2,23.9,,,,6.6,5.6,,,,,,,,,4.1,,,,,,,,,,,,,,,,,
IPSOS,23.06.2020,1017.0,,16.0,12.0,35.0,23.0,,,,9.0,10.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Social Changes,23.06.2020,1066.0,,2.0,10.0,40.0,30.0,,,,13.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,23.06.2020,1066.0,,1.0,18.0,38.0,20.0,,,19.0,11.0,7.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Estymator,19.06.2020,1017.0,,0.3,14.4,42.8,28.4,,,,9.6,7.5,,,,,,,,,10.4,,,,,,,,,,,,,,,,,
Pollster,17.06.2020,1047.0,,0.5,11.7,41.3,29.6,,,,10.7,8.8,,,,,,,,,9.1,,,,,,,,,,,,,,,,,
IPSOS,16.06.2020,1017.0,,13.0,13.0,37.0,24.0,,,,10.0,10.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,16.06.2020,1065.0,,3.0,11.0,39.0,28.0,,,,13.0,8.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
Pollster,10.06.2020,1091.0,,1.3,15.7,42.2,26.5,,,,11.4,9.7,,,,,,,,,8.9,,,,,,,,,,,,,,,,,
Kantar Public,10.06.2020,986.0,,10.0,6.0,37.0,31.0,,,,7.0,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,09.06.2020,1069.0,,2.0,16.0,42.0,26.0,,,,13.0,8.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
Kantar Public,08.06.2020,1000.0,,12.0,7.0,36.0,29.0,,,,8.0,10.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Estymator,04.06.2020,1022.0,,1.3,15.2,42.6,27.4,,,,10.1,7.2,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
CBOS,04.06.2020,1308.0,,18.0,26.7,46.4,19.7,,,,5.1,5.8,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Social Changes,02.06.2020,1058.0,,3.0,19.0,43.0,24.0,,,,13.0,9.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
IBRiS,29.05.2020,1100.0,,7.0,16.7,41.0,24.3,,,,9.0,7.5,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
Pollster,27.05.2020,1038.0,,1.1,13.9,39.9,26.0,,,,14.1,9.5,,,,,,,,,9.4,,,,,,,,,,,,,,,,,
Social Changes,25.05.2020,1056.0,,2.0,18.0,42.0,24.0,,,,14.0,9.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
IBRiS,23.05.2020,1100.0,,8.2,16.9,40.3,23.4,,,,8.1,6.6,,,,,,,,,13.4,,,,,,,,,,,,,,,,,
Estymator,22.05.2020,1100.0,,1.9,15.8,41.9,26.1,,,,11.6,6.6,,,,,,,,,11.9,,,,,,,,,,,,,,,,,
Kantar Public,19.05.2020,954.0,,14.0,14.0,37.0,23.0,,,,8.0,11.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,18.05.2020,1062.0,,3.0,26.0,47.0,21.0,,,,14.0,7.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Pollster,17.05.2020,1089.0,,1.8,14.0,38.5,24.5,,,,13.6,9.0,,,,,,,,,12.6,,,,,,,,,,,,,,,,,
Estymator,15.05.2020,1025.0,,1.1,28.5,45.8,17.3,,,,12.8,8.9,,,,,,,,,14.1,,,,,,,,,,,,,,,,,
Estymator,15.05.2020,1025.0,,0.0,30.7,44.1,13.4,,,10.6,10.2,8.8,,,,,,,,,12.9,,,,,,,,,,,,,,,,,
Kantar Public,14.05.2020,1000.0,,1.2,11.4,41.1,29.7,,,,10.3,9.7,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Social Changes,14.05.2020,1070.0,,3.0,29.0,47.0,18.0,,,,12.0,9.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
IBRiS,09.05.2020,1100.0,,17.0,22.1,37.7,15.6,,,,8.2,8.7,,,,,,,,,12.8,,,,,,,,,,,,,,,,,
Kantar Public,08.05.2020,1000.0,,0.9,10.8,39.3,28.5,,,,13.0,8.9,,,,,,,,,9.4,,,,,,,,,,,,,,,,,
Social Changes,07.05.2020,1073.0,,1.0,35.0,52.0,17.0,,,,12.0,10.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Pollster,04.05.2020,1109.0,,1.0,16.5,40.2,23.7,,,,14.7,9.4,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
IPSOS,29.04.2020,1016.0,,20.0,22.0,38.0,16.0,,,,10.0,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Social Changes,27.04.2020,1081.0,,2.0,35.0,52.0,17.0,,,,12.0,9.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Estymator,24.04.2020,1018.0,,0.2,23.0,42.7,19.7,,,,14.4,7.2,,,,,,,,,15.8,,,,,,,,,,,,,,,,,
Social Changes,20.04.2020,1063.0,,1.0,36.0,53.0,17.0,,,,12.0,10.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Kantar Public,17.04.2020,954.0,,12.0,15.0,36.0,21.0,,,,11.0,8.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
Social Changes,13.04.2020,1060.0,,3.0,37.0,52.0,15.0,,,,11.0,11.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Estymator,09.04.2020,1023.0,,0.3,25.0,45.4,20.4,,,,15.9,5.4,,,,,,,,,12.6,,,,,,,,,,,,,,,,,
Pollster,07.04.2020,1054.0,,1.5,21.6,44.0,22.4,,,,15.7,7.7,,,,,,,,,8.7,,,,,,,,,,,,,,,,,
Social Changes,06.04.2020,1064.0,,0.0,31.0,49.0,18.0,,,,14.0,9.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
IBSP,02.04.2020,1002.0,,0.1,14.9,42.0,27.1,,,,12.5,8.7,,,,,,,,,9.6,,,,,,,,,,,,,,,,,
Social Changes,30.03.2020,1062.0,,1.0,30.0,51.0,21.0,,,,12.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Estymator,26.03.2020,1032.0,,0.3,21.4,44.3,22.9,,,,15.0,5.2,,,,,,,,,12.3,,,,,,,,,,,,,,,,,
Social Changes,23.03.2020,1055.0,,0.0,20.0,44.0,24.0,,,,16.0,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Pollster,18.03.2020,1077.0,,0.5,18.1,41.9,23.8,,,,15.4,8.2,,,,,,,,,10.2,,,,,,,,,,,,,,,,,
Social Changes,17.03.2020,1065.0,,0.0,14.0,40.0,26.0,,,,17.0,7.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
CBOS,15.03.2020,919.0,,8.7,28.5,49.1,20.6,,,,7.7,6.9,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Estymator,13.03.2020,1028.0,,0.7,16.7,42.0,25.3,,,,15.2,6.5,,,,,,,,,10.3,,,,,,,,,,,,,,,,,
IBSP,13.03.2020,1002.0,,0.2,25.7,47.6,21.9,,,,12.4,9.8,,,,,,,,,8.1,,,,,,,,,,,,,,,,,
Kantar Public Archived 20200717 at the Wayback Machine,11.03.2020,981.0,,9.0,13.0,41.0,28.0,,,,10.0,5.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,10.03.2020,1063.0,,0.0,21.0,45.0,24.0,,,,15.0,7.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
Social Changes,02.03.2020,1052.0,,0.0,15.0,41.0,26.0,,,,18.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Estymator,28.02.2020,1031.0,,0.5,13.1,41.7,28.6,,,,13.4,6.2,,,,,,,,,9.6,,,,,,,,,,,,,,,,,
Pollster,26.02.2020,1097.0,,1.0,16.3,41.4,25.1,,,,14.4,8.3,,,,,,,,,9.8,,,,,,,,,,,,,,,,,
Social Changes,24.02.2020,1090.0,,1.0,16.0,41.0,25.0,,,,16.0,9.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
IPSOS,22.02.2020,1013.0,,8.0,12.0,38.0,26.0,,,,13.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
IBSP,20.02.2020,1000.0,,0.4,7.5,38.4,30.9,,,,13.4,9.0,,,,,,,,,7.9,,,,,,,,,,,,,,,,,
Social Changes,18.02.2020,1053.0,,0.0,14.0,39.0,25.0,,,,16.0,9.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
CBOS,16.02.2020,994.0,,12.0,20.0,44.0,24.0,,,,9.0,6.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Estymator,13.02.2020,1009.0,,0.7,10.8,40.6,29.8,,,,13.2,6.4,,,,,,,,,9.3,,,,,,,,,,,,,,,,,
Kantar Public,12.02.2020,969.0,,12.0,15.0,41.0,26.0,,,,10.0,4.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,11.02.2020,1085.0,,2.0,17.0,42.0,25.0,,,,15.0,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
IBRiS,08.02.2020,1100.0,,7.7,8.7,35.9,27.2,,,,15.6,6.3,,,,,,,,,7.3,,,,,,,,,,,,,,,,,
Social Changes,04.02.2020,1080.0,,2.0,11.0,39.0,28.0,,,,15.0,7.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
Kantar Public,30.01.2020,1000.0,,8.0,5.0,35.0,30.0,,,,13.0,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Social Changes,27.01.2020,1062.0,,1.0,12.0,39.0,27.0,,,,17.0,7.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
IBRiS,25.01.2020,1100.0,,8.0,12.0,38.0,26.0,,,,15.0,6.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Estymator,24.01.2020,1027.0,,0.4,13.8,43.5,29.7,,,,11.8,5.9,,,,,,,,,8.7,,,,,,,,,,,,,,,,,
Pollster,23.01.2020,1091.0,,0.7,13.1,40.5,27.4,,,,14.7,8.5,,,,,,,,,8.3,,,,,,,,,,,,,,,,,
Social Changes,21.01.2020,1054.0,,1.0,15.0,41.0,26.0,,,,17.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
IBSP,16.01.2020,1001.0,,0.5,6.5,37.8,31.3,,,,13.3,9.7,,,,,,,,,7.4,,,,,,,,,,,,,,,,,
Pollster,16.01.2020,1075.0,,0.3,13.6,41.1,27.5,,,,14.5,8.1,,,,,,,,,8.5,,,,,,,,,,,,,,,,,
CBOS,16.01.2020,1069.0,,11.0,21.0,44.0,23.0,,,,10.0,5.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Kantar Public,15.01.2020,984.0,,12.0,10.0,38.0,28.0,,,,13.0,3.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
Social Changes,14.01.2020,1057.0,,1.0,19.0,42.0,23.0,,,,18.0,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
IBRiS,11.01.2020,1100.0,,13.2,10.4,37.3,26.9,,,,12.9,5.0,,,,,,,,,4.7,,,,,,,,,,,,,,,,,
Estymator,10.01.2020,1018.0,,0.9,17.2,45.4,28.2,,,,10.5,6.4,,,,,,,,,8.6,,,,,,,,,,,,,,,,,
Social Changes,07.01.2020,1033.0,,1.0,17.0,41.0,24.0,,,,16.0,8.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
